node_id	gene_symbol
1	A2M
2	A2ML1
3	AADAT
4	AAR2
5	AATF
6	ABCA10
7	ABCA3
8	ABCB1
9	ABCB11
10	ABCB4
11	ABCB5
12	ABCB6
13	ABCB8
14	ABCB9
15	ABCC1
16	ABCC10
17	ABCC12
18	ABCC2
19	ABCC3
20	ABCC8
21	ABCD2
22	ABCD4
23	ABCF1
24	ABCF3
25	ABCG2
26	ABHD11
27	ABHD13
28	ABHD17B
29	ABHD18
30	ABHD5
31	ABI1
32	ABI3
33	ABL1
34	ABL2
35	ABLIM3
36	ABO
37	ABR
38	ABRACL
39	ABRAXAS2
40	ABT1
41	ACAD8
42	ACAD9
43	ACADL
44	ACADVL
45	ACAP1
46	ACAT1
47	ACBD5
48	ACD
49	ACE
50	ACE2
51	ACIN1
52	ACKR4
53	ACO2
54	ACOT11
55	ACP1
56	ACP6
57	ACSL1
58	ACSL4
59	ACSM1
60	ACSM4
61	ACTB
62	ACTN1
63	ACTN4
64	ACTR10
65	ACTR1A
66	ACTR1B
67	ACTR2
68	ACTR3C
69	ACTRT2
70	ACVR1
71	ACVR2B
72	ACVRL1
73	ACYP1
74	ADA2
75	ADAM10
76	ADAM21
77	ADAM22
78	ADAM8
79	ADAM9
80	ADAMDEC1
81	ADAMTS1
82	ADAMTS17
83	ADAMTS18
84	ADAMTS2
85	ADAMTS8
86	ADAMTSL5
87	ADAP1
88	ADAR
89	ADAT1
90	ADAT2
91	ADAT3
92	ADCY8
93	ADD1
94	ADGRA2
95	ADGRB1
96	ADGRD2
97	ADGRE1
98	ADGRF2
99	ADGRG1
100	ADGRG6
101	ADGRL1
102	ADGRL2
103	ADH1A
104	ADIPOQ
105	ADIPOR1
106	ADK
107	ADM
108	ADNP
109	ADORA1
110	ADORA2A
111	ADORA2B
112	ADPRHL2
113	ADPRM
114	ADRA1A
115	ADRA1D
116	ADRB1
117	ADSL
118	ADSS
119	AEBP2
120	AFAP1
121	AFF4
122	AGBL5
123	AGER
124	AGFG2
125	AGGF1
126	AGMO
127	AGO2
128	AGPAT2
129	AGPAT5
130	AGR2
131	AGRN
132	AGTR1
133	AGTR2
134	AHCTF1
135	AHCY
136	AHNAK
137	AHNAK2
138	AHR
139	AHSA1
140	AIF1
141	AIFM1
142	AIFM2
143	AIFM3
144	AIG1
145	AIM2
146	AIMP1
147	AIMP2
148	AIP
149	AK1
150	AK3
151	AK9
152	AKAP11
153	AKAP4
154	AKAP8
155	AKAP8L
156	AKAP9
157	AKR1A1
158	AKR1C2
159	AKR1C3
160	AKR7A2
161	AKT1
162	AKT1S1
163	AKT2
164	AKT3
165	AKTIP
166	ALAD
167	ALB
168	ALDH18A1
169	ALDH1A3
170	ALDH3A1
171	ALDH5A1
172	ALDOB
173	ALDOC
174	ALG10B
175	ALG2
176	ALG3
177	ALK
178	ALKBH2
179	ALKBH3
180	ALKBH4
181	ALKBH5
182	ALKBH6
183	ALKBH7
184	ALLC
185	ALMS1
186	ALOX5AP
187	ALPI
188	ALPK1
189	ALPK3
190	ALS2CL
191	AMDHD2
192	AMELY
193	AMFR
194	AMIGO2
195	AMOTL2
196	AMPD2
197	AMPH
198	AMZ2
199	ANAPC1
200	ANAPC10
201	ANAPC11
202	ANAPC2
203	ANAPC4
204	ANAPC5
205	ANAPC7
206	ANGEL2
207	ANK1
208	ANK3
209	ANKFN1
210	ANKFY1
211	ANKH
212	ANKRD1
213	ANKRD13C
214	ANKRD16
215	ANKRD20A1
216	ANKRD22
217	ANKRD26
218	ANKRD46
219	ANKZF1
220	ANLN
221	ANO1
222	ANOS1
223	ANP32A
224	ANP32B
225	ANP32E
226	ANTXR1
227	ANXA1
228	ANXA2
229	ANXA2P1
230	ANXA2P2
231	ANXA4
232	ANXA5
233	ANXA7
234	ANXA9
235	AOAH
236	AOX1
237	AP1G2
238	AP1M1
239	AP2A1
240	AP2B1
241	AP2M1
242	AP2S1
243	AP3B1
244	AP3D1
245	AP3M2
246	AP3S1
247	AP4E1
248	AP5Z1
249	APAF1
250	APBB1IP
251	APC
252	APC2
253	APEX1
254	APEX2
255	API5
256	APLP1
257	APOA2
258	APOB
259	APOBR
260	APOC1
261	APOC3
262	APOH
263	APOL1
264	APOL3
265	APPL2
266	APTX
267	AQP1
268	AQP2
269	AQR
270	AR
271	ARAF
272	ARF1
273	ARF4
274	ARF6
275	ARFGAP1
276	ARFGAP2
277	ARFGEF1
278	ARFGEF2
279	ARGLU1
280	ARHGAP1
281	ARHGAP11A
282	ARHGAP18
283	ARHGAP19
284	ARHGAP24
285	ARHGAP27
286	ARHGAP29
287	ARHGAP33
288	ARHGAP36
289	ARHGAP6
290	ARHGEF1
291	ARHGEF16
292	ARHGEF2
293	ARHGEF25
294	ARHGEF35
295	ARHGEF5
296	ARHGEF6
297	ARID1A
298	ARID1B
299	ARID2
300	ARID4B
301	ARID5A
302	ARIH1
303	ARIH2
304	ARL1
305	ARL13A
306	ARL14
307	ARL3
308	ARL4A
309	ARL6
310	ARL6IP4
311	ARL8A
312	ARL8B
313	ARMC1
314	ARMC10
315	ARMC6
316	ARMC8
317	ARMCX4
318	ARNT
319	ARPC1A
320	ARPC2
321	ARPC3
322	ARPC4
323	ARPC5
324	ARPC5L
325	ARRB2
326	ARRDC1
327	ARSB
328	ARSJ
329	ART5
330	AS3MT
331	ASAP1
332	ASAP2
333	ASB10
334	ASB16
335	ASB17
336	ASB7
337	ASCC1
338	ASCC3
339	ASF1A
340	ASF1B
341	ASH1L
342	ASH2L
343	ASMTL-AS1
344	ASNA1
345	ASNS
346	ASPH
347	ASPHD2
348	ASPM
349	ASPSCR1
350	ATAD2
351	ATAD2B
352	ATAD3A
353	ATAD5
354	ATE1
355	ATF5
356	ATF6B
357	ATG10
358	ATG12
359	ATG16L2
360	ATG2A
361	ATG3
362	ATG4A
363	ATG4C
364	ATG5
365	ATG7
366	ATG9A
367	ATG9B
368	ATL2
369	ATM
370	ATMIN
371	ATOH1
372	ATOX1
373	ATP10A
374	ATP11B
375	ATP13A1
376	ATP13A4
377	ATP1A2
378	ATP1B1
379	ATP1B1P1
380	ATP1B3
381	ATP23
382	ATP2A2
383	ATP2B3
384	ATP2C2
385	ATP5A1
386	ATP5B
387	ATP5C1
388	ATP5D
389	ATP5EP1
390	ATP5F1
391	ATP5H
392	ATP5L
393	ATP5O
394	ATP5SL
395	ATP6AP2
396	ATP6V0A2
397	ATP6V0C
398	ATP6V0D1
399	ATP6V0D2
400	ATP6V0E1
401	ATP6V1A
402	ATP6V1B2
403	ATP6V1C1
404	ATP6V1H
405	ATP7A
406	ATP8B1
407	ATP8B2
408	ATP9A
409	ATR
410	ATRAID
411	ATRIP
412	ATRN
413	ATRX
414	ATXN1L
415	ATXN2L
416	ATXN3
417	ATXN7
418	AUNIP
419	AURKA
420	AURKAIP1
421	AURKB
422	AVEN
423	AVL9
424	AVPI1
425	AVPR2
426	AXIN1
427	AXL
428	AZGP1
429	AZI2
430	AZIN1
431	B3GNT2
432	B4GALNT3
433	B4GALT1
434	B4GALT3
435	B4GALT4
436	B4GALT5
437	B4GAT1
438	BABAM1
439	BABAM2
440	BACH1
441	BACH2
442	BAD
443	BAG1
444	BAG2
445	BAG3
446	BAG4
447	BAG5
448	BAIAP2L1
