gene1_node_id	gene1_symbol	gene2_node_id	gene2_symbol	label
1	A2M	2411	HRAS	1
1	A2M	2781	KRAS	1
1	A2M	3579	NRAS	1
2	A2ML1	2411	HRAS	1
2	A2ML1	2781	KRAS	1
2	A2ML1	3579	NRAS	1
3	AADAT	3326	MYC	1
4	AAR2	895	CDK5RAP1	1
4	AAR2	4428	RALY	1
4	AAR2	2411	HRAS	1
4	AAR2	2781	KRAS	1
4	AAR2	3579	NRAS	1
5	AATF	1598	EFTUD2	1
5	AATF	3218	MRM1	1
5	AATF	4283	PSMB3	1
5	AATF	5342	TADA2A	1
5	AATF	5952	UTP6	1
5	AATF	3375	NAE1	1
6	ABCA10	2411	HRAS	1
6	ABCA10	2781	KRAS	1
6	ABCA10	3579	NRAS	1
7	ABCA3	682	CAMK2G	1
7	ABCA3	1985	FZD2	1
7	ABCA3	3482	NFATC1	1
7	ABCA3	3484	NFATC2IP	1
7	ABCA3	3861	PDE6H	1
7	ABCA3	4175	PPP3CA	1
7	ABCA3	4230	PRMT8	1
7	ABCA3	4494	RCAN1	1
7	ABCA3	4745	RYK	1
7	ABCA3	3860	PDE6C	1
7	ABCA3	4005	PLCB1	1
7	ABCA3	4176	PPP3CB	1
7	ABCA3	4495	RCAN2	1
7	ABCA3	6043	WNT5A	1
7	ABCA3	2533	IL7	1
7	ABCA3	5219	SRSF1	1
7	ABCA3	3029	MAPK11	1
7	ABCA3	1947	FOSL1	1
7	ABCA3	4853	SEP-06	1
7	ABCA3	160	AKR7A2	1
7	ABCA3	2059	GGCX	1
7	ABCA3	2087	GLIPR1	1
7	ABCA3	174	ALG10B	1
7	ABCA3	2094	GLT8D1	1
7	ABCA3	2330	HIST1H3F	1
7	ABCA3	2351	HLA-DRA	1
7	ABCA3	2352	HLA-DRB5	1
7	ABCA3	2602	ITGB1	1
7	ABCA3	3418	NCOA3	1
7	ABCA3	3586	NRG2	1
7	ABCA3	3684	OR2F1	1
7	ABCA3	4036	PLOD2	1
7	ABCA3	4357	PYROXD1	1
7	ABCA3	384	ATP2C2	1
7	ABCA3	4435	RAP1A	1
7	ABCA3	4665	RPL5	1
7	ABCA3	4757	S1PR2	1
7	ABCA3	400	ATP6V0E1	1
7	ABCA3	5125	SNX10	1
7	ABCA3	5139	SORBS1	1
7	ABCA3	5147	SP100	1
7	ABCA3	5329	SYT11	1
7	ABCA3	662	CACNA2D2	1
7	ABCA3	695	CAPRIN1	1
7	ABCA3	848	CD93	1
7	ABCA3	1032	CLEC2D	1
7	ABCA3	1048	CLPX	1
7	ABCA3	77	ADAM22	1
7	ABCA3	2563	INTS6L	1
7	ABCA3	1443	DLAT	1
7	ABCA3	1586	EDF1	1
7	ABCA3	1694	EPB42	1
7	ABCA3	1729	ERMP1	1
7	ABCA3	1917	FKBP11	1
7	ABCA3	2029	GBP4	1
7	ABCA3	208	ANK3	1
7	ABCA3	2827	LAPTM4B	1
7	ABCA3	255	API5	1
7	ABCA3	3192	MORC3	1
7	ABCA3	3618	NUDT3	1
7	ABCA3	4023	PLEKHM1	1
7	ABCA3	4160	PPP1R2	1
7	ABCA3	4831	SEL1L	1
7	ABCA3	4876	SETMAR	1
7	ABCA3	4780	SCAF11	1
7	ABCA3	4956	SKP1	1
7	ABCA3	5059	SMARCA1	1
7	ABCA3	5190	SPTB	1
7	ABCA3	5204	SRI	1
7	ABCA3	5313	SV2B	1
7	ABCA3	5369	TAS2R14	1
7	ABCA3	5449	THAP1	1
7	ABCA3	428	AZGP1	1
7	ABCA3	5595	TNFRSF9	1
7	ABCA3	5881	UCP2	1
7	ABCA3	6194	ZNF140	1
7	ABCA3	2850	LDLRAD4	1
7	ABCA3	672	CALM1	1
7	ABCA3	693	CAPN6	1
7	ABCA3	709	CARS	1
7	ABCA3	779	CCL23	1
7	ABCA3	1081	CNR1	1
7	ABCA3	1137	CPSF1	1
7	ABCA3	1197	CST4	1
7	ABCA3	1221	CTSB	1
7	ABCA3	1238	CUX1	1
7	ABCA3	1251	CXCR4	1
7	ABCA3	173	ALDOC	1
7	ABCA3	3900	PGAP2	1
7	ABCA3	2012	GAPDH	1
7	ABCA3	2999	MAML1	1
7	ABCA3	3136	MGAT2	1
7	ABCA3	4443	RARA	1
7	ABCA3	4656	RPL35	1
7	ABCA3	4736	RTP4	1
7	ABCA3	405	ATP7A	1
7	ABCA3	5488	TLE1	1
7	ABCA3	5512	TMEFF1	1
7	ABCA3	5690	TRIM24	1
7	ABCA3	5709	TRIP11	1
7	ABCA3	5858	UBE3A	1
7	ABCA3	12	ABCB6	1
7	ABCA3	653	CA2	1
